Bin Center,Frequency
0.016668968731210043,2717.0
0.05000222474336624,691.0
0.08333548158407211,199.0
0.11666873842477798,115.0
0.15000199526548386,67.0
0.18333524465560913,65.0
0.2166684940457344,36.0
0.2500017508864403,46.0
0.28333501517772675,31.0
0.3166682720184326,34.0
0.3500015139579773,17.0
0.38333477079868317,27.0
0.41666802763938904,21.0
0.4500012844800949,22.0
0.483334556221962,12.0
0.5166678130626678,10.0
0.5500010550022125,17.0
0.5833342969417572,11.0
0.6166675686836243,14.0
0.6500008404254913,6.0
0.683334082365036,8.0
0.7166673243045807,4.0
0.7500005662441254,6.0
0.7833338379859924,5.0
0.8166671097278595,7.0
0.8500003516674042,9.0
0.8833335936069489,5.0
0.9166668653488159,13.0
0.950000137090683,6.0
0.9833333790302277,4045.0
